Manufact,Model,Sales,Resales
1,Integra,16.919,16.36
1,TL,39.384,19.875
1,CL,14.114,18.225
1,RL,8.588,29.725
2,A4,20.397,22.255
2,A6,18.78,23.555
2,A8,1.38,39
3,323i,19.747, 
3,328i,9.231,28.675
3,528i,17.527,36.125
4,Century,91.561,12.475
4,Regal,39.35,13.74
4,Park Avenue,27.851,20.19
4,LeSabre,83.257,13.36
5,DeVille,63.729,22.525
5,Seville,15.943,27.1
5,Eldorado,6.536,25.725
5,Catera,11.185,18.225
5,Escalade,14.785, 
6,Cavalier,145.519,9.25
6,Malibu,135.126,11.225
6,Lumina,24.629,10.31
6,Monte Carlo,42.593,11.525
6,Camaro,26.402,13.025
6,Corvette,17.947,36.225
6,Prizm,32.299,9.125
6,Metro,21.855,5.16
6,Impala,107.995, 
7,Sebring Coupe,7.854,12.36
7,Sebring Conv.,32.775,14.18
7,Concorde,31.148,13.725
7,Cirrus,32.306,12.64
7,LHS,13.462,17.325
7,Town & Country,53.48,19.54
7,300M,30.696, 
8,Neon,76.034,7.75
8,Avenger,4.734,12.545
8,Stratus,71.186,10.185
8,Intrepid,88.026,12.275
8,Viper,.916,58.47
8,Ram Pickup,227.061,15.06
8,Ram Wagon,16.767,15.51
8,Ram Van,31.038,13.425
8,Dakota,111.313,11.26
8,Durango,101.323, 
8,Caravan,181.749,12.025
9,Escort,70.227,7.425
9,Mustang,113.369,12.76
9,Contour,35.068,8.835
9,Taurus,245.815,10.055
9,Focus,175.67, 
9,Crown Victoria,63.403,14.21
9,Explorer,276.747,16.64
9,Windstar,155.787,13.175
9,Expenditon,125.338,23.575
9,Ranger,220.65,7.85
9,F-Series,540.561,15.075
10,Civic,199.685,9.85
10,Accord,230.902,13.21
10,CR-V,73.203,17.71
10,Passport,12.855,17.525
10,Odyssey,76.029,19.49
11,Accent,41.184,5.86
11,Elantra,66.692,7.825
11,Sonata,29.45,8.91
12,I30,23.713,19.69
13,S-Type,15.467, 
14,Wrangler,55.557,13.475
14,Cherokee,80.556,13.775
14,Grand Cherokee,157.04,18.81
15,ES300,24.072,26.975
15,GS300,12.698,32.075
15,GS400,3.334, 
15,LS400,6.375,40.375
15,LX470,9.126, 
15,RX300,51.238, 
16,Continental,13.798,20.525
16,Town car,48.911,21.725
16,Navigator,22.925, 
17,Mirage,26.232,8.325
17,Eclipse,42.541,10.395
17,Galant,55.616,10.595
17,Diamante,5.711,16.575
17,3000GT,.11,20.94
17,Montero,11.337,19.125
17,Montero Sport,39.348,13.88
18,Mystique,14.351,8.8
18,Couger,26.529,13.89
18,Sable,67.956,11.03
18,Grand Marquis,81.174,14.875
18,Mounteneer,27.609,20.43
18,Vilager,20.38,14.795
19,C-Class,18.392,26.05
19,E-Class,27.602,41.45
19,S-Class,16.774,50.375
19,SL-Class,3.311,58.6
19,SLK,7.998, 
19,SLK320,1.526, 
19,CLK Coupe,11.592, 
19,CL500,.954, 
19,M-Class,28.976, 
20,Sentra,42.643,8.45
20,Altima,88.094,11.295
20,Maxima,79.853,15.125
20,Quest,27.308,15.38
20,Pathfinder,42.574,17.81
20,Xterra,54.158, 
20,Frontier,65.005, 
21,Cutlass,1.112,11.24
21,Intngue,38.554, 
21,Alero,80.255, 
21,Aurora,14.69,19.89
21,Bravada,20.017,19.925
21,Silhouette,24.361,15.24
22,Neon,32.734,7.75
22,Breeze,5.24,9.8
22,Voyager,24.155,12.025
22,Prowler,1.872, 
23,Sunfire,51.645,13.79
23,Grand Am,131.097,10.29
23,Firebird,19.911,17.805
23,Grand Prix,92.364,14.01
23,Bonneville,35.945,13.225
23,Montana,39.572, 
24,Boxter,8.982,41.25
24,Carrera Coupe,1.28,60.625
24,Carrera Cabriolet,1.866,67.55
25,9-5,9.191, 
25,9-3,12.115, 
26,SL,80.62,9.2
26,SC,24.546,10.59
26,SW,5.223,10.79
26,LW,8.472, 
26,LS,49.989, 
27,Outback,47.107, 
27,Forester,33.028, 
28,Corolla,142.535,10.025
28,Camry,247.994,13.245
28,Avalon,63.849,18.14
28,Celica,33.269,15.445
28,Tacoma,84.087,9.575
28,Sienna,65.119, 
28,RAV4,25.106,13.325
28,4Runner,68.411,19.425
28,Land Cruiser,9.835,34.08
29,Golf,9.761,11.425
29,Jetta,83.721,13.24
29,Passat,51.102,16.725
29,Cabrio,9.569,16.575
29,GTI,5.596,13.76
29,Beetle,49.463, 
30,S40,16.957, 
30,V40,3.545, 
30,S70,15.245, 
30,V70,17.531, 
30,C70,3.493, 
30,S80,18.969, 
